Timestamp: 2014-05-01 235921Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 5
main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
25,-0.6000,47,-0.6822,-0.6822,2,-0.6875,-0.7975,7,-0.5544,23
41,-0.5469,47,-0.5785,-0.5785,1,-0.6250,-0.7711,6,-0.5443,29
23,-0.5600,47,-0.5505,-0.5603,0,-0.6361,-0.6808,9,-0.4978,20
18,-0.5506,36,-0.5816,-0.6351,2,-0.6822,-0.7672,7,-0.5388,22
1,-0.5494,47,-0.5372,-0.6041,4,-0.5208,-0.5619,7,-0.5698,26
31,-0.5369,47,-0.5359,-0.5737,1,-0.5173,-0.6883,16,-0.5551,18
18,-0.5481,47,-0.5532,-0.5880,2,-0.7617,-0.9109,9,-0.4619,26
41,-0.5156,47,-0.4840,-0.5569,1,-0.4536,-0.7160,14,-0.5290,15
1,-0.5406,42,-0.5238,-0.6181,4,-0.5048,-0.5647,20,-0.5273,2
41,-0.5369,47,-0.5253,-0.5800,1,-0.3511,-0.5237,14,-0.5280,10
26,-0.5406,42,-1.0000,-1.0000,35,-0.0625,-0.5057,20,-0.5285,5
38,-0.5587,48,-0.5651,-0.7196,3,-0.4648,-0.6324,15,-0.5208,14
45,-0.5613,16,-0.6250,-0.7688,1,-0.9371,-0.9996,4,-0.4761,44
1,-0.5331,47,-0.5146,-0.5882,4,-0.3925,-0.5700,20,-0.5341,6
3,-0.5425,36,-0.5017,-0.6039,1,-0.5447,-0.7361,16,-0.5103,9
41,-0.5344,48,-0.5104,-0.6634,1,-0.3032,-0.5347,16,-0.5075,10
19,-0.5475,48,-0.5951,-0.8314,2,-0.2983,-0.7985,8,-0.4979,20
3,-0.5175,37,-0.5473,-0.6661,1,-0.5657,-0.6477,10,-0.4924,10
18,-0.5006,38,-0.4934,-0.7559,2,-0.3954,-0.8021,12,-0.4874,14
1,-0.5544,48,-0.5768,-0.7789,4,-0.5700,-0.6577,6,-0.4680,23
2,-0.5312,47,-0.5505,-0.5676,1,-0.3990,-0.6621,10,-0.4961,19
41,-0.5456,47,-0.5532,-0.5780,1,-0.5522,-0.6798,11,-0.5308,12
9,-0.5687,6,-0.6146,-0.9197,3,-0.6833,-0.6885,3,-0.4770,36
14,-0.5325,48,-0.5156,-0.6964,1,-0.5028,-0.6720,20,-0.5494,13
23,-0.5125,47,-0.5465,-0.5905,0,-0.5742,-0.6407,10,-0.5473,23
10,-0.5275,33,-0.5663,-0.5820,4,-0.4822,-0.6328,20,-0.5333,7
31,-0.5256,5,-0.4000,-0.6477,1,-0.5006,-0.6383,22,-0.5256,7
30,-0.5569,36,-0.5833,-0.6160,4,-0.5495,-0.6136,12,-0.5476,16
14,-0.5250,48,-0.5156,-0.7544,1,-0.5038,-0.7182,15,-0.5303,16
6,-0.5194,48,-0.5260,-0.6524,2,-0.6272,-0.7717,12,-0.5188,13
0,-0.5444,38,-0.5740,-0.5740,0,-0.5375,-0.6148,3,-0.5504,20
2,-0.5513,35,-0.5250,-0.5890,1,-0.6614,-0.7752,14,-0.4987,12
25,-0.5975,33,-0.6364,-0.6416,2,-0.6669,-0.7559,7,-0.5358,25
47,-0.5012,47,-0.5173,-0.5788,2,-0.4385,-0.7492,21,-0.4965,16
47,-0.5212,42,-0.5134,-0.5965,2,-0.6820,-0.8139,13,-0.4831,17
9,-0.4562,47,-0.4362,-0.5874,3,-0.4913,-0.6470,11,-0.5449,17
Laws passed: 6
Total provisions: 27
Satisfaction with legislation: 0.6214
