Experiment GCC Main Experiment - National Priorities -
Main experiment version 2 - with state priorities - 30 realizations per configuration .
Experiment started 2014-05-04 154654

######################################################
Experiment Defaults:
                          setNumOfIssues :,  	75
                 setNumOfRepresentatives :,  	100
                setSatisfactionThreshold :,  	0.675
Experiment Parameter Variations:
                 setUnaffiliatedFraction :,  	[0.05, 0.5]
                        setGreenFraction :,  	[0.5, 0.75, 1.0]
                      setStatePriorities :,  	[0, 5]
                       setIdeologyIssues :,  	[0, 5]
######################################################
*********************Job Settings*********************
                 setUnaffiliatedFraction :	,0.05
                        setGreenFraction :	,0.5
                      setStatePriorities :	,0
                       setIdeologyIssues :	,0
 timestamp, job ID, setUnaffiliatedFraction, setGreenFraction, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-04 160913, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 160928, 3,                 0.05,                  0.5,                    5,                    0,200.00,1.00,4.00,0.5399,0.0000,51.0000
 2014-05-04 160943, 3,                 0.05,                  0.5,                    5,                    0,200.00,1.00,5.00,0.5491,0.0000,51.0000
 2014-05-04 160959, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 161014, 3,                 0.05,                  0.5,                    5,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
averages: ,                 0.05,                  0.5,                    5,                    0,200.00,0.37,1.20,0.2028,0.0021,18.7333
standard deviations: ,                 0.05,                  0.5,                    5,                    0,0.00,0.48,1.81,0.2667,0.0112,24.6210
*********************Job Settings*********************
                 setUnaffiliatedFraction :	,0.05
                        setGreenFraction :	,0.5
                      setStatePriorities :	,5
                       setIdeologyIssues :	,5
 timestamp, job ID, setUnaffiliatedFraction, setGreenFraction, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-04 161030, 4,                 0.05,                  0.5,                    5,                    5,200.00,5.00,28.00,0.6132,0.0000,260.0000
 2014-05-04 161045, 4,                 0.05,                  0.5,                    5,                    5,200.00,4.00,10.00,0.6207,0.0000,216.0000
 2014-05-04 161100, 4,                 0.05,                  0.5,                    5,                    5,200.00,4.00,21.00,0.7074,0.0625,211.0000
 2014-05-04 161116, 4,                 0.05,                  0.5,                    5,                    5,200.00,5.00,30.00,0.6281,0.0125,267.0000
 2014-05-04 161131, 4,                 0.05,                  0.5,                    5,                    5,200.00,6.00,57.00,0.6135,0.0521,332.0000
 2014-05-04 161145, 4,                 0.05,                  0.5,                    5,                    5,200.00,8.00,41.00,0.5978,0.0469,427.0000
 2014-05-04 161200, 4,                 0.05,                  0.5,                    5,                    5,200.00,4.00,21.00,0.7059,0.0000,221.0000
 2014-05-04 161216, 4,                 0.05,                  0.5,                    5,                    5,200.00,5.00,41.00,0.6090,0.0000,269.0000
 2014-05-04 161231, 4,                 0.05,                  0.5,                    5,                    5,200.00,7.00,39.00,0.6854,0.1071,374.0000
 2014-05-04 161247, 4,                 0.05,                  0.5,                    5,                    5,200.00,5.00,18.00,0.6686,0.0000,272.0000
 2014-05-04 161303, 4,                 0.05,                  0.5,                    5,                    5,200.00,5.00,20.00,0.7260,0.0500,297.0000
 2014-05-04 161319, 4,                 0.05,                  0.5,                    5,                    5,200.00,7.00,40.00,0.6092,0.0089,390.0000
 2014-05-04 161334, 4,                 0.05,                  0.5,                    5,                    5,200.00,5.00,28.00,0.6159,0.0000,292.0000
 2014-05-04 161350, 4,                 0.05,                  0.5,                    5,                    5,200.00,6.00,40.00,0.6437,0.0000,322.0000
 2014-05-04 161405, 4,                 0.05,                  0.5,                    5,                    5,200.00,4.00,19.00,0.6643,0.0000,248.0000
 2014-05-04 161421, 4,                 0.05,                  0.5,                    5,                    5,200.00,6.00,29.00,0.6286,0.0104,313.0000
 2014-05-04 161436, 4,                 0.05,                  0.5,                    5,                    5,200.00,6.00,28.00,0.6340,0.0000,323.0000
 2014-05-04 161452, 4,                 0.05,                  0.5,                    5,                    5,200.00,4.00,30.00,0.6166,0.0000,209.0000
 2014-05-04 161508, 4,                 0.05,                  0.5,                    5,                    5,200.00,2.00,12.00,0.5756,0.0000,102.0000
 2014-05-04 161523, 4,                 0.05,                  0.5,                    5,                    5,200.00,5.00,27.00,0.7166,0.1000,263.0000
 2014-05-04 161539, 4,                 0.05,                  0.5,                    5,                    5,200.00,5.00,23.00,0.7066,0.0000,272.0000
 2014-05-04 161555, 4,                 0.05,                  0.5,                    5,                    5,200.00,3.00,11.00,0.6904,0.0000,153.0000
 2014-05-04 161610, 4,                 0.05,                  0.5,                    5,                    5,200.00,5.00,22.00,0.6717,0.0125,281.0000
 2014-05-04 161626, 4,                 0.05,                  0.5,                    5,                    5,200.00,7.00,37.00,0.6407,0.0268,369.0000
 2014-05-04 161641, 4,                 0.05,                  0.5,                    5,                    5,200.00,6.00,40.00,0.5973,0.0833,336.0000
 2014-05-04 161656, 4,                 0.05,                  0.5,                    5,                    5,200.00,4.00,16.00,0.7182,0.0156,239.0000
 2014-05-04 161712, 4,                 0.05,                  0.5,                    5,                    5,200.00,6.00,47.00,0.6060,0.0000,307.0000
 2014-05-04 161727, 4,                 0.05,                  0.5,                    5,                    5,200.00,4.00,27.00,0.7187,0.0625,257.0000
 2014-05-04 161743, 4,                 0.05,                  0.5,                    5,                    5,200.00,6.00,29.00,0.6251,0.0417,325.0000
 2014-05-04 161759, 4,                 0.05,                  0.5,                    5,                    5,200.00,5.00,31.00,0.6173,0.0000,272.0000
averages: ,                 0.05,                  0.5,                    5,                    5,200.00,5.13,28.73,0.6491,0.0231,280.6333
standard deviations: ,                 0.05,                  0.5,                    5,                    5,0.00,1.26,10.95,0.0441,0.0321,66.7785
*********************Job Settings*********************
                 setUnaffiliatedFraction :	,0.05
                        setGreenFraction :	,0.75
                      setStatePriorities :	,0
                       setIdeologyIssues :	,0
 timestamp, job ID, setUnaffiliatedFraction, setGreenFraction, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-04 161814, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 161830, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 161846, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 161902, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 161918, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 161934, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 161950, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162006, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162022, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162038, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162054, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162110, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162126, 5,                 0.05,                 0.75,                    0,                    0,200.00,1.00,1.00,0.6506,0.0000,57.0000
 2014-05-04 162142, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162158, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162214, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162230, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162246, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162302, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162318, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162334, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162350, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162406, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162422, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162438, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162454, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162510, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162526, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-04 162542, 5,                 0.05,                 0.75,                    0,                    0,200.00,1.00,1.00,0.5887,0.0625,52.0000
 2014-05-04 162558, 5,                 0.05,                 0.75,                    0,                    0,200.00,0.00,0.00,0.0000,0.0000,0.0000
averages: ,                 0.05,                 0.75,                    0,                    0,200.00,0.07,0.07,0.0413,0.0021,3.6333
standard deviations: ,                 0.05,                 0.75,                    0,                    0,0.00,0.25,0.25,0.1548,0.0112,13.6100
*********************Job Settings*********************
                 setUnaffiliatedFraction :	,0.05
                        setGreenFraction :	,0.75
                      setStatePriorities :	,0
                       setIdeologyIssues :	,5
