Timestamp: 2014-05-02 165153
Unaffiliated fraction: 0
Green fraction: 0.50
Ideology issues: 5

main issue,congress init dis,cosponsors,cosp init dis,cosp fin dis,com size,com init dis,com fin dis,# issues,congress final dis,votes
33,-0.4994,10,-0.5062,-0.6762,2,-0.5087,-0.6161,26,-0.5676,32
16,-0.5519,11,-0.6534,-0.7241,4,-0.6165,-0.6980,9,-0.5619,34
1,-0.5363,13,-0.5721,-0.6552,4,-0.4510,-0.6492,22,-0.5656,29
15,-0.5006,10,-0.4625,-0.6231,3,-0.6354,-0.7484,20,-0.5591,28
29,-0.5387,10,-0.6250,-0.6778,1,-0.7350,-0.7749,6,-0.5092,32
14,-0.5188,13,-0.7260,-0.7260,11,-0.2159,-0.4815,25,-0.5076,11
6,-0.5269,14,-0.5446,-0.6663,3,-0.6095,-0.6740,17,-0.5643,36
13,-0.5506,9,-0.5972,-0.6746,4,-0.6277,-0.6906,11,-0.5071,26
47,-0.5319,10,-0.4437,-0.6451,6,-0.6155,-0.6722,14,-0.5179,26
26,-0.5513,22,-0.5312,-0.6299,6,-0.4968,-0.5993,23,-0.5247,18
19,-0.5381,11,-0.5284,-0.6308,3,-0.5427,-0.6371,16,-0.5905,47
14,-0.5387,11,-0.6307,-0.7830,11,-0.7839,-0.8071,4,-0.6010,43
13,-0.5294,16,-0.6289,-0.6647,4,-0.7098,-0.7241,9,-0.5002,33
18,-0.5425,9,-0.5764,-0.6835,4,-0.6177,-0.7028,11,-0.5282,28
6,-0.5269,13,-0.5913,-0.6474,3,-0.5861,-0.7205,8,-0.5798,42
19,-0.5381,11,-0.5966,-0.6273,3,-0.5878,-0.7331,7,-0.6029,48
1,-0.5363,8,-0.5781,-0.6819,4,-0.5800,-0.6940,12,-0.5422,30
33,-0.5569,7,-0.5893,-0.7128,2,-0.3756,-0.6538,14,-0.5529,30
14,-0.5188,16,-0.7031,-0.7031,11,-0.2159,-0.5761,21,-0.5198,14
34,-0.5294,11,-0.5909,-0.6575,2,-0.5449,-0.6836,19,-0.5731,38
15,-0.5531,11,-0.6818,-0.7116,3,-0.3823,-0.5882,18,-0.5414,16
26,-0.5062,14,-0.6473,-0.7389,6,-0.4915,-0.5750,9,-0.5209,21
19,-0.5494,7,-0.5625,-0.6691,3,-0.5156,-0.7077,15,-0.5788,42
19,-0.5381,11,-0.5966,-0.6961,3,-0.5803,-0.6951,12,-0.5607,32
15,-0.5619,16,-0.6484,-0.6729,3,-0.3166,-0.5475,14,-0.5798,35
44,-0.5219,14,-0.5045,-0.6059,4,-0.6783,-0.6918,11,-0.5407,28
14,-0.5387,11,-0.6307,-0.7017,11,-0.5210,-0.5977,9,-0.5525,27
33,-0.5581,8,-0.5469,-0.6505,2,-0.4947,-0.6433,15,-0.5036,20
27,-0.5138,12,-0.4479,-0.6758,6,-0.5248,-0.5845,14,-0.5528,32
42,-0.5650,13,-0.6106,-0.6406,6,-0.6065,-0.6394,7,-0.5372,26
24,-0.5544,8,-0.4062,-0.6744,3,-0.5910,-0.6709,17,-0.5572,37
14,-0.5387,8,-0.5859,-0.6787,11,-0.6114,-0.6829,15,-0.5897,45
6,-0.5344,8,-0.6406,-0.6749,3,-0.5108,-0.7133,12,-0.5374,31
40,-0.5244,14,-0.5804,-0.6300,1,-0.3801,-0.6601,20,-0.5624,28
9,-0.5356,14,-0.6652,-0.6981,7,-0.4093,-0.5611,25,-0.5438,17
13,-0.5256,13,-0.6106,-0.6518,4,-0.6925,-0.7469,8,-0.5406,32
32,-0.5106,8,-0.5312,-0.6476,11,-0.3243,-0.4918,20,-0.5426,29
19,-0.5381,11,-0.5284,-0.6195,3,-0.5375,-0.6097,18,-0.5781,34
6,-0.5344,14,-0.6071,-0.6425,3,-0.6607,-0.7142,9,-0.5750,40
29,-0.5288,12,-0.5885,-0.6816,1,-0.4295,-0.6746,25,-0.5400,16
47,-0.5269,22,-0.5795,-0.5977,6,-0.6264,-0.6744,11,-0.5426,22
24,-0.5106,8,-0.6953,-0.7681,3,-0.5981,-0.7395,9,-0.5574,36
9,-0.5306,10,-0.6000,-0.7415,7,-0.5259,-0.6197,10,-0.5187,22
28,-0.5419,14,-0.8080,-0.8080,19,-0.9605,-0.9605,1,-0.5419,47
21,-0.5094,22,-0.5312,-0.5969,3,-0.5624,-0.6709,13,-0.5452,32
