Experiment GCC Main Experiment - National Priorities - No Parties
Main experiment version 3 - with state priorities but no parties - 30 realizations per configuration .
Experiment started 2014-05-03 175733

######################################################
Experiment Defaults:
                          setNumOfIssues :,  	75
                 setNumOfRepresentatives :,  	100
                setSatisfactionThreshold :,  	0.675
                 setUnaffiliatedFraction :,  	1.0
Experiment Parameter Variations:
                      setStatePriorities :,  	[0, 5]
                       setIdeologyIssues :,  	[0, 5]
######################################################
*********************Job Settings*********************
                      setStatePriorities :	,0
                       setIdeologyIssues :	,0
 timestamp, job ID, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 2014-05-03 182813, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182830, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182847, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182904, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182920, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182938, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 182955, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 183011, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 183029, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
 2014-05-03 183046, 4,                    5,                    5,200.00,0.00,0.00,0.0000,0.0000,0.0000
averages: ,                    5,                    5,200.00,0.07,0.07,0.0413,0.0000,3.6333
standard deviations: ,                    5,                    5,0.00,0.25,0.25,0.1547,0.0000,13.6100
######################################################
EXPERIMENT SUMMARY:  JOB AVERAGES
######################################################

, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 1,                    0,                    0,200.00,0.03,0.03,0.0203,0.0000,1.7000
 2,                    0,                    5,200.00,0.03,0.03,0.0208,0.0000,1.7333
 3,                    5,                    0,200.00,0.10,0.13,0.0633,0.0000,5.2333
 4,                    5,                    5,200.00,0.07,0.07,0.0413,0.0000,3.6333
######################################################
EXPERIMENT SUMMARY:  JOB STANDARD DEVIATIONS
######################################################

, setStatePriorities, setIdeologyIssues, proposals, laws count, provisions, satisfaction, total change, total votes
 1,                    0,                    0,0.00,0.18,0.18,0.1090,0.0000,9.1548
 2,                    0,                    5,0.00,0.18,0.18,0.1119,0.0000,9.3343
 3,                    5,                    0,0.00,0.30,0.43,0.1898,0.0000,15.7050
 4,                    5,                    5,0.00,0.25,0.25,0.1547,0.0000,13.6100
######################################################
Experiment Completed 2014-05-03 183102
######################################################

